,Time,Tcpu,Tw,Fan,Q,T_air
0,0.0,298.15,298.15,0.03756702,100.0,298.15
1,1.0,301.2056211425297,298.18233584901617,0.03756702,100.0,298.15
2,2.0,304.1010312853245,298.2652873155805,0.03756702,100.0,298.15
3,3.0,306.8469538295128,298.38226331181147,0.03756702,100.0,298.15
4,4.0,309.45276528889667,298.521316327256,0.03756702,100.0,298.15
5,5.0,311.92679423220187,298.67387114206576,0.03756702,100.0,298.15
6,6.0,314.2765393907926,298.83380134005273,0.03756702,100.0,298.15
7,7.0,316.508830884751,298.99675779331636,0.03756702,100.0,298.15
8,8.0,318.62994858582306,299.15968093652606,0.03756702,100.0,298.15
9,9.0,320.64571085379197,299.32044572674994,0.03756702,100.0,298.15
10,10.0,322.5615415026155,299.4776033779618,0.03756702,100.0,298.15
11,11.0,324.3825210395593,299.6301934546861,0.03756702,100.0,298.15
12,12.0,326.11343024056936,299.77760647502527,0.03756702,100.0,298.15
13,13.0,327.7587705946196,299.9194870327058,0.03756702,100.0,298.15
14,14.0,329.3227990424748,300.0556587101213,0.03756702,100.0,298.15
15,15.0,330.8095454773642,300.18607256237016,0.03756702,100.0,298.15
16,16.0,332.2228297248856,300.3107689811003,0.03756702,100.0,298.15
17,17.0,333.56627599902583,300.4298500343449,0.03756702,100.0,298.15
18,18.0,334.8433254005617,300.5434594431923,0.03756702,100.0,298.15
19,19.0,336.0572469165228,300.65176811987004,0.03756702,100.0,298.15
20,20.0,337.211147239472,300.75496375504196,0.03756702,100.0,298.15
21,21.0,338.30797851562875,300.8532432887035,0.03756702,100.0,298.15
22,22.0,339.35055011135324,300.9468077805084,0.03756702,100.0,298.15
23,23.0,340.34153226683014,301.0358584714751,0.03756702,100.0,298.15
24,24.0,341.28346445949785,301.1205942087034,0.03756702,100.0,298.15
25,25.0,342.1787619306384,301.20120964253465,0.03756702,100.0,298.15
26,26.0,343.0297218389397,301.27789402074137,0.03756702,100.0,298.15
27,27.0,343.83852905422316,301.3508304123266,0.03756702,100.0,298.15
28,28.0,344.60726163058564,301.4201952408193,0.03756702,100.0,298.15
29,29.0,345.33789600693797,301.48615804107885,0.03756702,100.0,298.15
30,30.0,346.03231193264145,301.5488813736485,0.03756702,100.0,298.15
31,31.0,346.6922971419387,301.6085208504887,0.03756702,100.0,298.15
32,32.0,347.31955182323003,301.6652252408777,0.03756702,100.0,298.15
33,33.0,347.91569284245935,301.71913662815444,0.03756702,100.0,298.15
34,34.0,348.48225777646024,301.7703906032255,0.03756702,100.0,298.15
35,35.0,349.0207087557239,301.81911648095394,0.03756702,100.0,298.15
36,36.0,349.5324361195996,301.86543752949945,0.03756702,100.0,298.15
37,37.0,350.01876189564405,301.9094712061374,0.03756702,100.0,298.15
