,Time,Tcpu,Tw,Fan,Q,T_air
0,0.0,0.0,0.0,0.030053616000000002,84.0,293.15
1,1.0,300.6850735309799,297.0497013099142,0.030053616000000002,84.0,293.15
2,2.0,303.0356737767845,296.2688862138161,0.030053616000000002,84.0,293.15
3,3.0,305.2267910319448,295.72532380940436,0.030053616000000002,84.0,293.15
4,4.0,307.2779845705358,295.357617707889,0.030053616000000002,84.0,293.15
5,5.0,309.204777849487,295.1198997983292,0.030053616000000002,84.0,293.15
6,6.0,311.0196709414978,294.9778995028212,0.030053616000000002,84.0,293.15
7,7.0,312.73288431292207,294.9060096677155,0.030053616000000002,84.0,293.15
8,8.0,314.35290453609576,294.88510708257803,0.030053616000000002,84.0,293.15
9,9.0,315.8868896619976,294.900919826818,0.030053616000000002,84.0,293.15
10,10.0,317.3409700647722,294.94280924513293,0.030053616000000002,84.0,293.15
11,11.0,318.7204734158399,295.0028576832453,0.030053616000000002,84.0,293.15
12,12.0,320.03009316016266,295.07518637196176,0.030053616000000002,84.0,293.15
13,13.0,321.2740156053781,295.155443779569,0.030053616000000002,84.0,293.15
14,14.0,322.45601551569905,295.24042229242804,0.030053616000000002,84.0,293.15
15,15.0,323.579530575406,295.32776956016556,0.030053616000000002,84.0,293.15
16,16.0,324.6477171937235,295.41577328501,0.030053616000000002,84.0,293.15
17,17.0,325.66349336808975,295.50319976416677,0.030053616000000002,84.0,293.15
18,18.0,326.62957225418864,295.58917241318113,0.030053616000000002,84.0,293.15
19,19.0,327.5484885491249,295.6730806131693,0.030053616000000002,84.0,293.15
20,20.0,328.4226193839355,295.75451136905605,0.030053616000000002,84.0,293.15
21,21.0,329.2542012002883,295.8331980439584,0.030053616000000002,84.0,293.15
22,22.0,330.04534312566767,295.9089820464934,0.030053616000000002,84.0,293.15
23,23.0,330.7980382306979,295.98178402715115,0.030053616000000002,84.0,293.15
24,24.0,331.51417295223564,296.0515823360111,0.030053616000000002,84.0,293.15
25,25.0,332.19553503358736,296.11839693526593,0.030053616000000002,84.0,293.15
26,26.0,332.8438203405342,296.18227738529714,0.030053616000000002,84.0,293.15
27,27.0,333.4606388397666,296.243293889078,0.030053616000000002,84.0,293.15
28,28.0,334.04751985880483,296.30153063150794,0.030053616000000002,84.0,293.15
29,29.0,334.60591680373403,296.3570808407005,0.030053616000000002,84.0,293.15
30,30.0,335.1372114361819,296.41004314165673,0.030053616000000002,84.0,293.15
31,31.0,335.64271775678156,296.46051887665334,0.030053616000000002,84.0,293.15
32,32.0,336.12368560494036,296.50861015264815,0.030053616000000002,84.0,293.15
33,33.0,336.5813039796998,296.5544184303831,0.030053616000000002,84.0,293.15
34,34.0,337.016704135073,296.59804351907684,0.030053616000000002,84.0,293.15
35,35.0,337.4309624857826,296.63958287446627,0.030053616000000002,84.0,293.15
36,36.0,337.82510332378286,296.6791311208778,0.030053616000000002,84.0,293.15
37,37.0,338.20010139269436,296.7167797418299,0.030053616000000002,84.0,293.15
38,38.0,338.5568843124158,296.7526168935867,0.030053616000000002,84.0,293.15
39,39.0,338.89633486956797,296.7867273092226,0.030053616000000002,84.0,293.15
40,40.0,339.21929319294225,296.81919226955756,0.030053616000000002,84.0,293.15
41,41.0,339.5265588242071,296.8500896228013,0.030053616000000002,84.0,293.15
42,42.0,339.81889267075104,296.8794938371724,0.030053616000000002,84.0,293.15
43,43.0,340.0970188731467,296.90747607875414,0.030053616000000002,84.0,293.15
44,44.0,340.3616265716066,296.9341043048675,0.030053616000000002,84.0,293.15
45,45.0,340.6133715923229,296.9594433688177,0.030053616000000002,84.0,293.15
46,46.0,340.85287805254893,296.9835551312442,0.030053616000000002,84.0,293.15
47,47.0,341.0807398863504,297.00649857473564,0.030053616000000002,84.0,293.15
48,48.0,341.2975222818053,297.0283299181205,0.030053616000000002,84.0,293.15
49,49.0,341.50376308433425,297.0491027338704,0.030053616000000002,84.0,293.15
50,50.0,341.6999741007895,297.06886806058105,0.030053616000000002,84.0,293.15
51,51.0,341.88664236472505,297.08767451539114,0.030053616000000002,84.0,293.15
52,52.0,342.06423132585434,297.1055684017768,0.030053616000000002,84.0,293.15
53,53.0,342.23318198054426,297.12259381372786,0.030053616000000002,84.0,293.15
54,54.0,342.39391396442477,297.13879273791133,0.030053616000000002,84.0,293.15
55,55.0,342.5468265757287,297.1542051502911,0.030053616000000002,84.0,293.15
56,56.0,342.69229975862817,297.1688691098354,0.030053616000000002,84.0,293.15
57,57.0,342.830695035147,297.18282084793816,0.030053616000000002,84.0,293.15
58,58.0,342.96235639655987,297.1960948544746,0.030053616000000002,84.0,293.15
59,59.0,343.0876111500927,297.2087239599286,0.030053616000000002,84.0,293.15
60,60.0,343.2067707239701,297.2207394137969,0.030053616000000002,84.0,293.15
61,61.0,343.3201314351124,297.2321709596128,0.030053616000000002,84.0,293.15
62,62.0,343.4279752224992,297.2430469068291,0.030053616000000002,84.0,293.15
63,63.0,343.53057033697314,297.2533941985817,0.030053616000000002,84.0,293.15
64,64.0,343.6281720028531,297.263238476833,0.030053616000000002,84.0,293.15
65,65.0,343.72102306595207,297.2726041463301,0.030053616000000002,84.0,293.15
66,66.0,343.8093545693886,297.28151443146317,0.030053616000000002,84.0,293.15
67,67.0,343.89338633580013,297.2899914338943,0.030053616000000002,84.0,293.15
68,68.0,343.973327505461,297.2980561858695,0.030053616000000002,84.0,293.15
69,69.0,344.0493770645584,297.30572870263944,0.030053616000000002,84.0,293.15
70,70.0,344.1217243358184,297.31302803118126,0.030053616000000002,84.0,293.15
71,71.0,344.19055299009653,297.319972653382,0.030053616000000002,84.0,293.15
72,72.0,344.25603100413895,297.326579475027,0.030053616000000002,84.0,293.15
73,73.0,344.3183214014264,297.33286490585635,0.030053616000000002,84.0,293.15
74,74.0,344.3775792798611,297.33884456030603,0.030053616000000002,84.0,293.15
